"Player","Gameweek 31","Gameweek 32","Gameweek 33","Gameweek 34","Gameweek 35","Gameweek 36","Gameweek 37","Gameweek 38"
"Fryers","Leicester (H)","West Ham (A)","Norwich (H)","Arsenal (A)","Everton (H)","Newcastle (A)","Stoke (H)","Southampton (A)"
"Romero","Man City (A)","Everton (H)","Spurs (A)","Aston Villa (H)","-","Leicester (H)","Norwich (A)","Bournemouth (H)"
"Senderos","Swansea (A)","Chelsea (H)","Bournemouth (H)","Man Utd (A)","Southampton (H)","Watford (A)","Newcastle (H)","Arsenal (A)"
"Baba Rahman","West Ham (H)","Aston Villa (A)","Swansea (A)","Man City (H)","Bournemouth (A)","Spurs (H)","Sunderland (A)","Leicester (H)"
"Lescott","Swansea (A)","Chelsea (H)","Bournemouth (H)","Man Utd (A)","Southampton (H)","Watford (A)","Newcastle (H)","Arsenal (A)"
"Coquelin","Everton (A)","Watford (H)","West Ham (A)","Crystal Palace (H)","Sunderland (A)","Norwich (H)","Man City (A)","Aston Villa (H)"
"Williamson","Leicester (A)","Sunderland (H)","Norwich (A)","Southampton (A)","Swansea (H)","Liverpool (A)","Crystal Palace (H)","Aston Villa (A)"
"Konchesky","Newcastle (H)","Crystal Palace (A)","Southampton (H)","Sunderland (A)","West Ham (H)","Swansea (H)","Man Utd (A)","Everton (H)"
"Sánchez","Swansea (A)","Chelsea (H)","Bournemouth (H)","Man Utd (A)","Southampton (H)","Watford (A)","Newcastle (H)","Arsenal (A)"
"Hernández","Man City (A)","Everton (H)","Spurs (A)","Aston Villa (H)","-","Leicester (H)","Norwich (A)","Bournemouth (H)"
"O'Neil","West Brom (A)","Newcastle (H)","Crystal Palace (A)","Sunderland (H)","Watford (H)","Arsenal (A)","Man Utd (H)","Everton (A)"
"Alfei","Aston Villa (H)","Stoke (A)","Chelsea (H)","Newcastle (A)","Leicester (A)","Liverpool (H)","West Ham (A)","Man City (H)"
"Crouch","Watford (A)","Swansea (H)","Liverpool (A)","Spurs (H)","Man City (A)","Sunderland (H)","Crystal Palace (A)","West Ham (H)"
"Mané","Liverpool (H)","Leicester (A)","Newcastle (H)","Everton (A)","Aston Villa (A)","Man City (H)","Spurs (A)","Crystal Palace (H)"
"Watmore","Newcastle (A)","West Brom (H)","Leicester (H)","Norwich (A)","Arsenal (H)","Stoke (A)","Chelsea (H)","Watford (A)"
"Fazio","Bournemouth (H)","Liverpool (A)","Man Utd (H)","Stoke (A)","West Brom (H)","Chelsea (A)","Southampton (H)","Newcastle (A)"
"Humphreys-Grant","Man Utd (H)","Bournemouth (A)","West Brom (H)","Chelsea (A)","Stoke (H)","Southampton (A)","Arsenal (H)","Swansea (A)"
"McClean","Norwich (H)","Sunderland (A)","Man City (A)","Watford (H)","Spurs (A)","West Ham (H)","Bournemouth (A)","Liverpool (H)"
"Guzan","Swansea (A)","Chelsea (H)","Bournemouth (H)","Man Utd (A)","Southampton (H)","Watford (A)","Newcastle (H)","Arsenal (A)"
"Yoshida","Liverpool (H)","Leicester (A)","Newcastle (H)","Everton (A)","Aston Villa (A)","Man City (H)","Spurs (A)","Crystal Palace (H)"
"Sessegnon","Norwich (H)","Sunderland (A)","Man City (A)","Watford (H)","Spurs (A)","West Ham (H)","Bournemouth (A)","Liverpool (H)"
"Cathcart","Stoke (H)","Arsenal (A)","Everton (H)","West Brom (A)","Norwich (A)","Aston Villa (H)","Liverpool (A)","Sunderland (H)"
"Van Ginkel","Watford (A)","Swansea (H)","Liverpool (A)","Spurs (H)","Man City (A)","Sunderland (H)","Crystal Palace (A)","West Ham (H)"
"Cleverley","Arsenal (H)","Man Utd (A)","Watford (A)","Southampton (H)","Crystal Palace (A)","Bournemouth (H)","Leicester (A)","Norwich (H)"
