"Player","Team Name","TP","PPG","Chance this round","Chance next round","Form","Selected By","Status","Position","Cost"
"Fryers","Crystal Palace","0","0.0","100","100","0.0","0.2","u","Defender","4.0"
"Romero","Man Utd","21","5.3","","","0.0","3.5","a","Goalkeeper","4.3"
"Senderos","Aston Villa","0","0.0","100","100","0.0","0.8","u","Defender","4.0"
"Baba Rahman","Chelsea","15","1.9","100","100","0.2","0.1","a","Defender","5.4"
"Lescott","Aston Villa","72","3.0","100","100","0.1","2.3","a","Defender","4.6"
"Coquelin","Arsenal","29","1.6","100","100","0.2","1.2","a","Midfielder","4.2"
"Williamson","Newcastle","0","0.0","0","0","0.0","0.1","u","Defender","4.2"
"Konchesky","Leicester","0","0.0","0","0","0.0","0.0","u","Defender","4.5"
"Sánchez","Aston Villa","26","1.7","0","0","0.0","0.3","i","Midfielder","4.3"
"Hernández","Man Utd","1","1.0","0","0","0.0","0.1","u","Forward","6.0"
"O'Neil","Norwich","23","1.2","100","100","0.2","0.0","a","Midfielder","4.2"
"Alfei","Swansea","0","0.0","","","0.0","0.0","u","Defender","4.0"
"Crouch","Stoke","9","1.1","100","100","0.1","0.4","a","Forward","5.6"
"Mané","Southampton","96","3.3","100","0","0.1","3.5","s","Midfielder","7.3"
"Watmore","Sunderland","31","1.8","0","0","0.0","0.3","i","Forward","4.1"
"Fazio","Spurs","0","0.0","0","0","0.0","0.1","u","Defender","4.7"
"Humphreys-Grant","Man City","0","0.0","","","0.0","0.0","a","Defender","4.0"
"McClean","West Brom","58","2.2","100","100","0.2","0.1","a","Midfielder","4.7"
"Guzan","Aston Villa","54","2.3","","","0.3","3.8","a","Goalkeeper","4.1"
"Yoshida","Southampton","51","2.7","","","0.2","1.3","a","Defender","4.0"
"Sessegnon","West Brom","53","2.8","100","100","0.6","0.1","a","Midfielder","5.1"
"Cathcart","Watford","91","3.4","25","100","0.4","2.2","a","Defender","4.6"
"Van Ginkel","Stoke","23","1.4","0","0","0.0","0.2","u","Midfielder","5.0"
"Cleverley","Everton","55","3.7","100","100","0.0","0.4","a","Midfielder","5.1"
"Sidwell","Stoke","1","1.0","0","0","0.0","0.1","u","Midfielder","4.2"
"Hennessey","Crystal Palace","68","3.1","100","100","0.2","10.0","a","Goalkeeper","4.2"
"Montero","Swansea","35","2.1","100","75","0.0","0.5","d","Midfielder","5.1"
"Szczesny","Arsenal","0","0.0","0","0","0.0","0.0","u","Goalkeeper","5.0"
"Poyet","West Ham","0","0.0","0","0","0.0","0.1","u","Midfielder","4.5"
"Burke","West Ham","0","0.0","100","100","0.0","0.2","u","Defender","3.9"
"Fuchs","Leicester","102","4.4","100","100","0.6","4.6","a","Defender","4.9"
"Benteke","Liverpool","84","3.5","100","100","0.4","9.2","a","Forward","8.0"
"Ledley","Crystal Palace","30","2.1","100","100","0.9","0.1","a","Midfielder","4.6"
"Hart","Man City","112","4.1","100","100","0.7","18.4","a","Goalkeeper","5.7"
"Galloway","Everton","39","2.6","100","100","0.0","0.6","a","Defender","3.9"
"Tomlin","Bournemouth","8","1.3","0","0","0.0","0.0","u","Forward","4.7"
