"Player","Gameweek 01","Gameweek 02","Gameweek 03","Gameweek 04","Gameweek 05","Gameweek 06","Gameweek 07","Gameweek 08","Gameweek 09","Gameweek 10","Gameweek 11","Gameweek 12","Gameweek 13","Gameweek 14","Gameweek 15","Gameweek 16","Gameweek 17","Gameweek 18","Gameweek 19","Gameweek 20","Gameweek 21","Gameweek 22","Gameweek 23","Gameweek 24","Gameweek 25","Gameweek 26","Gameweek 27","Gameweek 28","Gameweek 29"
"Fryers","NOR(A) 3-1","ARS(H) 1-2","AVL(H) 2-1","CHE(A) 2-1","MCI(H) 0-1","TOT(A) 0-1","WAT(A) 1-0","WBA(H) 2-0","WHU(H) 1-3","LEI(A) 0-1","MUN(H) 0-0","LIV(A) 2-1","SUN(H) 0-1","NEW(H) 5-1","EVE(A) 1-1","SOU(H) 1-0","STK(A) 2-1","BOU(A) 0-0","SWA(H) 0-0","CHE(H) 0-3","AVL(A) 0-1","MCI(A) 0-4","TOT(H) 1-3","BOU(H) 1-2","SWA(A) 1-1","WAT(H) 1-2","WBA(A) 2-3","SUN(A) 2-2","LIV(H) 1-2"
"Romero","TOT(H) 1-0","AVL(A) 1-0","NEW(H) 0-0","SWA(A) 1-2","LIV(H) 3-1","SOU(A) 3-2","SUN(H) 3-0","ARS(A) 0-3","EVE(A) 3-0","MCI(H) 0-0","CRY(A) 0-0","WBA(H) 2-0","WAT(A) 2-1","LEI(A) 1-1","WHU(H) 0-0","BOU(A) 1-2","NOR(H) 1-2","STK(A) 0-2","CHE(H) 0-0","SWA(H) 2-1","NEW(A) 3-3","LIV(A) 1-0","SOU(H) 0-1","STK(H) 3-0","CHE(A) 1-1","SUN(A) 1-2","ARS(H) 3-2","WAT(H) 1-0","WBA(A) 0-1"
"Senderos","BOU(A) 1-0","MUN(H) 0-1","CRY(A) 1-2","SUN(H) 2-2","LEI(A) 2-3","WBA(H) 0-1","LIV(A) 2-3","STK(H) 0-1","CHE(A) 0-2","SWA(H) 1-2","TOT(A) 1-3","MCI(H) 0-0","EVE(A) 0-4","WAT(H) 2-3","SOU(A) 1-1","ARS(H) 0-2","NEW(A) 1-1","WHU(H) 1-1","NOR(A) 0-2","SUN(A) 1-3","CRY(H) 1-0","LEI(H) 1-1","WBA(A) 0-0","WHU(A) 0-2","NOR(H) 2-0","LIV(H) 0-6","STK(A) 1-2","EVE(H) 1-3","MCI(A) 0-4"
"Baba Rahman","N/A","N/A","WBA(A) 3-2","CRY(H) 1-2","EVE(A) 1-3","ARS(H) 2-0","NEW(A) 2-2","SOU(H) 1-3","AVL(H) 2-0","WHU(A) 1-2","LIV(H) 1-3","STK(A) 0-1","NOR(H) 1-0","TOT(A) 0-0","BOU(H) 0-1","LEI(A) 1-2","SUN(H) 3-1","WAT(H) 2-2","MUN(A) 0-0","CRY(A) 3-0","WBA(H) 2-2","EVE(H) 3-3","ARS(A) 1-0","WAT(A) 0-0","MUN(H) 1-1","NEW(H) 5-1","SOU(A) 2-1","NOR(A) 2-1","STK(H) 1-1"
"Lescott","MCI(H) 0-3","WAT(A) 0-0","CHE(H) 2-3","STK(A) 1-0","LEI(A) 2-3","WBA(H) 0-1","LIV(A) 2-3","STK(H) 0-1","CHE(A) 0-2","SWA(H) 1-2","TOT(A) 1-3","MCI(H) 0-0","EVE(A) 0-4","WAT(H) 2-3","SOU(A) 1-1","ARS(H) 0-2","NEW(A) 1-1","WHU(H) 1-1","NOR(A) 0-2","SUN(A) 1-3","CRY(H) 1-0","LEI(H) 1-1","WBA(A) 0-0","WHU(A) 0-2","NOR(H) 2-0","LIV(H) 0-6","STK(A) 1-2","EVE(H) 1-3","MCI(A) 0-4"
"Coquelin","WHU(H) 0-2","CRY(A) 2-1","LIV(H) 0-0","NEW(A) 1-0","STK(H) 2-0","CHE(A) 0-2","LEI(A) 5-2","MUN(H) 3-0","WAT(A) 3-0","EVE(H) 2-1","SWA(A) 3-0","TOT(H) 1-1","WBA(A) 1-2","NOR(A) 1-1","SUN(H) 3-1","AVL(A) 2-0","MCI(H) 2-1","SOU(A) 0-4","BOU(H) 2-0","NEW(H) 1-0","LIV(A) 3-3","STK(A) 0-0","CHE(H) 0-1","SOU(H) 0-0","BOU(A) 2-0","LEI(H) 2-1","MUN(A) 2-3","SWA(H) 1-2","TOT(A) 2-2"
"Williamson","SOU(H) 2-2","SWA(A) 0-2","MUN(A) 0-0","ARS(H) 0-1","WHU(A) 0-2","WAT(H) 1-2","CHE(H) 2-2","MCI(A) 1-6","NOR(H) 6-2","SUN(A) 0-3","STK(H) 0-0","BOU(A) 1-0","LEI(H) 0-3","CRY(A) 1-5","LIV(H) 2-0","TOT(A) 2-1","AVL(H) 1-1","EVE(H) 0-1","WBA(A) 0-1","ARS(A) 0-1","MUN(H) 3-3","WHU(H) 2-1","WAT(A) 1-2","EVE(A) 0-3","WBA(H) 1-0","CHE(A) 1-5","STK(A) 0-1","BOU(H) 1-3","LEI(A) "
"Konchesky","SUN(H) 4-2","WHU(A) 2-1","TOT(H) 1-1","BOU(A) 1-1","AVL(H) 3-2","STK(A) 2-2","ARS(H) 2-5","NOR(A) 2-1","SOU(A) 2-2","CRY(H) 1-0","WBA(A) 3-2","WAT(H) 2-1","NEW(A) 3-0","MUN(H) 1-1","SWA(A) 3-0","CHE(H) 2-1","EVE(A) 3-2","LIV(A) 0-1","MCI(H) 0-0","BOU(H) 0-0","TOT(A) 1-0","AVL(A) 1-1","STK(H) 3-0","LIV(H) 2-0","MCI(A) 3-1","ARS(A) 1-2","NOR(H) 1-0","WBA(H) 2-2","WAT(A) 1-0"
"Sánchez","BOU(A) 1-0","MUN(H) 0-1","CRY(A) 1-2","SUN(H) 2-2","LEI(A) 2-3","WBA(H) 0-1","LIV(A) 2-3","STK(H) 0-1","CHE(A) 0-2","SWA(H) 1-2","TOT(A) 1-3","MCI(H) 0-0","EVE(A) 0-4","WAT(H) 2-3","SOU(A) 1-1","ARS(H) 0-2","NEW(A) 1-1","WHU(H) 1-1","NOR(A) 0-2","SUN(A) 1-3","CRY(H) 1-0","LEI(H) 1-1","WBA(A) 0-0","WHU(A) 0-2","NOR(H) 2-0","LIV(H) 0-6","STK(A) 1-2","EVE(H) 1-3","MCI(A) 0-4"
"Hernández","TOT(H) 1-0","AVL(A) 1-0","NEW(H) 0-0","SWA(A) 1-2","LIV(H) 3-1","SOU(A) 3-2","SUN(H) 3-0","ARS(A) 0-3","EVE(A) 3-0","MCI(H) 0-0","CRY(A) 0-0","WBA(H) 2-0","WAT(A) 2-1","LEI(A) 1-1","WHU(H) 0-0","BOU(A) 1-2","NOR(H) 1-2","STK(A) 0-2","CHE(H) 0-0","SWA(H) 2-1","NEW(A) 3-3","LIV(A) 1-0","SOU(H) 0-1","STK(H) 3-0","CHE(A) 1-1","SUN(A) 1-2","ARS(H) 3-2","WAT(H) 1-0","WBA(A) 0-1"
