"Player","2006/07","2007/08","2008/09","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15"
"Fryers","N/A","N/A","N/A","N/A","N/A","2","0","16","1"
"Romero"
"Senderos","25","65","0","8","13","59","47","32","22"
"Baba Rahman"
"Lescott","164","196","172","46","103","132","77","34","127"
"Coquelin","N/A","N/A","0","0","17","15","45","N/A","N/A"
"Williamson","N/A","N/A","N/A","0","75","71","35","87","58"
"Konchesky","41","72","130","82","47","62","N/A","N/A","N/A"
"Sánchez","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52"
"Hernández","N/A","N/A","N/A","N/A","110","106","92","56","1"
"O'Neil","99","70","82","19","57","0","N/A","N/A","N/A"
"Alfei","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A"
"Crouch","111","64","138","125","92","130","128","114","101"
"Mané","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","137"
"Watmore","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Fazio","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50"
"Humphreys-Grant"
"McClean","N/A","N/A","N/A","N/A","N/A","101","97","0","N/A"
"Guzan","N/A","N/A","1","0","0","19","106","127","112"
"Yoshida","N/A","N/A","N/A","N/A","N/A","N/A","74","31","73"
"Sessegnon","N/A","N/A","N/A","N/A","51","161","141","91","67"
"Cathcart","0","0","59","N/A","N/A","N/A","N/A","N/A","N/A"
"Van Ginkel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","0"
"Cleverley","N/A","N/A","N/A","N/A","72","17","70","48","81"
"Sidwell","134","25","45","43","45","34","83","126","13"
"Hennessey","N/A","N/A","N/A","37","74","107","2","9","N/A"
"Montero","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","80"
"Szczesny","N/A","N/A","0","0","62","139","102","157","47"
"Poyet","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3"
"Burke","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19"
"Fuchs"
"Benteke","N/A","N/A","N/A","N/A","N/A","N/A","166","103","127"
"Ledley","N/A","N/A","N/A","N/A","N/A","N/A","N/A","48","81"
"Hart","7","103","75","140","175","166","158","117","142"
"Galloway","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3"
"Tomlin"
"Carroll","4","6","33","135","84","94","52","56","N/A"
"Terry","139","97","141","150","134","138","66","172","177"
"Diamanti","N/A","N/A","N/A","93","1","N/A","N/A","N/A","N/A"
"Clyne","N/A","N/A","N/A","N/A","N/A","N/A","89","100","142"
"Falcao","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76"
"Whittaker","N/A","N/A","N/A","N/A","N/A","N/A","39","49","N/A"
"Armstrong","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","14"
"Fabbrini"
"Markovic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","47"
"Samaras","86","7","0","5","N/A","N/A","N/A","N/A","N/A"
"Chamakh","N/A","N/A","N/A","N/A","101","16","4","87","45"
"Yacob","N/A","N/A","N/A","N/A","N/A","N/A","58","52","35"
"Rooney","184","148","135","224","142","230","143","190","132"
"Welbeck","N/A","N/A","9","6","79","112","57","100","89"
"Bacuna","N/A","N/A","N/A","N/A","N/A","N/A","N/A","104","48"
"Chambers","N/A","N/A","N/A","N/A","N/A","N/A","0","49","68"
"Simpson","N/A","11","22","70","117","46","25","N/A","N/A"
"Alli"
"Zouma","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","40"
"Wijnaldum"
"Kanté"
"Obiang"
"Ritchie","N/A","N/A","N/A","4","N/A","N/A","N/A","N/A","N/A"
"Defoe","109","104","113","150","56","92","124","21","61"
"Gomis","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","84"
"Valencia","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","94"
"Tioté","N/A","N/A","N/A","N/A","66","60","38","68","23"
"Vydra","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59","N/A"
"Ideye","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","62"
"Oviedo","N/A","N/A","N/A","N/A","N/A","N/A","18","34","9"
"Hazard","N/A","N/A","N/A","N/A","N/A","N/A","190","202","233"
"Vlaar","N/A","N/A","N/A","N/A","N/A","N/A","58","92","56"
"Dummett","N/A","N/A","N/A","N/A","N/A","N/A","N/A","36","58"
"Mayuka","N/A","N/A","N/A","N/A","N/A","N/A","14","0","5"
"Trippier","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","118"
"Tabanou"
"Traoré"
"Baker","N/A","N/A","N/A","N/A","5","13","42","62","29"
"Browning","N/A","N/A","N/A","N/A","N/A","N/A","0","0","2"
"Ruddy","0","0","0","97","67","135","N/A","N/A","N/A"
"Caulker","N/A","N/A","N/A","N/A","N/A","89","66","122","74"
"Gosling","N/A","N/A","35","23","1","14","3","11","N/A"
"Shaw","N/A","N/A","N/A","N/A","N/A","N/A","66","123","34"
"Lloris","N/A","N/A","N/A","N/A","N/A","N/A","96","141","121"
"Kermorgant"
"Naismith","N/A","N/A","N/A","N/A","N/A","N/A","71","81","98"
"Borini","N/A","N/A","N/A","4","0","19","94","19","N/A"
"Adam","N/A","N/A","N/A","N/A","192","101","85","109","97"
"Schneiderlin","N/A","N/A","N/A","N/A","N/A","N/A","108","84","90"
"McAleny","N/A","N/A","N/A","N/A","0","2","0","0","0"
"Ramires","N/A","N/A","N/A","N/A","68","106","101","79","55"
"Jedinak","N/A","N/A","N/A","N/A","N/A","N/A","N/A","95","86"
"Tözsér"
"Tadic","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","117"
"Cech","98","120","171","144","158","127","144","146","38"
"Horsfield"
"Okazaki"
"Tuanzebe"
"Clichy","80","146","110","73","109","119","111","67","93"
"Carles Gil","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12"
"Haugaard"
"King","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57"
"Lawrence","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","3"
"Lukaku","N/A","N/A","N/A","N/A","N/A","11","159","168","135"
"Sturridge","2","11","45","24","78","128","99","197","46"
"Naughton","N/A","N/A","N/A","1","0","55","48","56","34"
"Can","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","66"
"Reed","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","17"
"Onomah","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"de Gea","N/A","N/A","N/A","N/A","N/A","134","114","128","138"
"Mbemba"
"Richards","94","74","82","66","67","99","31","4","0"
"Dann","N/A","N/A","N/A","88","67","50","47","105","N/A"
"Traore"
"Jarvis","N/A","N/A","N/A","108","133","142","92","86","14"
"Akpom","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","6"
"Hammond","N/A","N/A","N/A","N/A","N/A","N/A","0","20","N/A"
"Gamboa","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12"
"Tremmel","N/A","N/A","N/A","N/A","N/A","1","51","29","2"
"Smalling","N/A","N/A","1","16","51","60","47","79","91"
"Roberts","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0"
"Kaboul","N/A","61","53","79","46","108","1","23","28"
"Maddison"
"Unavailable"
"Denayer"
