Player,PPG,Con,Form,W,D,F1 PR P,F1 Pos D
Abdi,2.2,1,0.3,0,0,2,3
Adam,1.5,1,0,1,0,3,13
Adelaide,0,1,0,1,0,0,2
Adrián,3.8,1,0.8,0,0,1,11
Afellay,2.4,1,0.7,1,0,1,13
Agbonlahor,2.6,1,0.5,0,1,0,-13
Aké,3.5,1,0.5,0,0,2,3
Akpom,0,1,0,1,0,0,2
Albrighton,3.3,1,0.4,1,0,2,17
Alderweireld,4.3,1,0.6,0,0,1,14
Alfei,0,1,0,0,0,0,-14
Alli,4.6,1,0.5,0,0,9,14
Amalfitano,0,1,0,0,0,0,11
Amat,2.2,1,0.1,0,0,0,-14
Amavi,3.2,1,0,0,1,2,-13
Andreu,0,1,0,0,1,0,-17
Angella,0,1,0,0,0,0,3
Anichebe,1.4,1,0.2,0,1,0,1
Antonio,5.4,1,1,0,0,0,11
Anya,2.1,1,0,0,0,2,3
Arlauskis,1,1,0,0,0,0,3
Arnautovic,5,1,0.6,1,0,9,13
Arter,2.1,1,0.4,0,0,0,-3
Arteta,0.8,1,0,1,0,0,2
Ayew,2.8,1,0.1,0,1,1,-13
Azpilicueta,3.6,1,0.4,0,1,1,-1
Baba Rahman,1.9,1,0.1,0,1,0,-1
Bacuna,2.1,1,0.5,0,1,0,-13
Baker,0,1,0,0,1,0,-13
Bannan,0,1,0,1,0,0,-1
Bardsley,2,1,0.3,1,0,0,13
Barrow,1.3,1,0.1,0,0,1,-14
Bartley,0.8,1,0,0,0,0,-14
Bassong,1.9,1,0.1,0,1,1,-17
Begovic,3.5,1,0,0,1,1,-1
Behrami,1.9,1,0.4,0,0,0,3
Belkalem,0,1,0,0,0,0,3
Bellerín,4.1,1,0.5,1,0,7,2
Benalouane,0.8,1,0,1,0,1,17
Bentaleb,1.2,1,0,0,0,0,14
Berahino,2.5,1,0.4,0,1,1,1
Berghuis,1,1,0,0,0,0,3
Bertrand,3.7,1,0.5,1,0,1,1
Blackett,0,1,0,0,1,0,-2
Blackman,0,1,0,0,1,0,-1
Blind,2.8,1,0.3,0,1,2,-2
Bojan,3.5,1,0,1,0,1,13
Bolasie,3.7,1,0.2,1,0,10,-1
Bond,0,1,0,0,0,0,3
Borini,2.7,1,0.3,0,0,2,-11
Boruc,3.7,1,0.7,0,0,2,-3
Brady,3.1,1,0.6,0,1,3,-17
